,校碼,序號,學校名稱,系組名稱,學測檢定標準,,,,,,英聽檢定標準,採計科目及加權,,,,,,,,,,,,,,,,,,,,,,,
dep_id,,,,,國文,英文,數學A,數學B,社會,自然,,數學甲,物理,化學,生物,歷史,地理,公民,國文,英文,數學A,數學B,社會,自然,,,,,,,,,,,
00104,001,1,國立臺灣大學            ,中國文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,1.00 ,0.00 ,1.50 ,1.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00106,001,2,國立臺灣大學            ,外國語文學系,,,均標,均標,,,A,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.25 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00109,001,3,國立臺灣大學            ,歷史學系,,,均標,均標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00107,001,4,國立臺灣大學            ,哲學系,,前標,前標,前標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00103,001,5,國立臺灣大學            ,人類學系,S,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00108,001,6,國立臺灣大學            ,圖書資訊學系,,,均標,均標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.25 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00105,001,7,國立臺灣大學            ,日本語文學系,,,均標,均標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00110,001,8,國立臺灣大學            ,戲劇學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00139,001,9,國立臺灣大學            ,數學系,,,頂標,,,頂標,,1.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
